timestamp,dx,dy
1726047005.7526748,-145,99
 1726047005.783884,-150,100
1726047005.7981293,-153,99
1726047005.829656,-151,97
1726047005.862047,-156,98
1726047005.9109209,-152,95
1726047005.9431937,-155,95
1726047005.9743633,-157,95
1726047005.9892554,-157,95
1726047006.0207107,-158,95
1726047006.0556517,-158,94
1726047006.0873022,-159,94
1726047006.1355584,-158,94
1726047006.1685953,-157,93
1726047006.1990895,-156,93
1726047006.24569,-159,95
1726047006.2773905,-156,95
1726047006.3099406,-152,94
1726047006.3253605,-152,94
1726047006.360235,-153,97
1726047006.3912737,-148,96
1726047006.423741,-145,96
1726047006.4702976,-143,97
1726047006.503122,-136,95
1726047006.5342965,-135,98
1726047006.5823464,-130,98
1726047006.6157794,-122,96
1726047006.6458745,-117,97
1726047006.6740568,-117,97
1726047006.6958225,-110,96
1726047006.7255485,-102,95
1726047006.76069,-91,92
1726047006.8071504,-85,92
1726047006.8384264,-80,95
1726047006.8686059,-69,91
1726047006.8843417,-69,91
1726047006.9191875,-63,91
1726047006.9823225,-55,93
1726047006.9982784,-55,93
1726047007.029157,-54,93
1726047007.0619574,-55,92
1726047007.0933015,-56,91
1726047007.12824,-63,93
1726047007.159414,-67,92
1726047007.2053072,-73,92
1726047008.3582842,-62,99
1726047008.4064822,-53,98
1726047008.45644,-46,98
1726047008.4732354,-46,98
1726047008.5030854,-43,101
1726047008.55098,-38,95
1726047008.582261,-39,94
1726047008.598816,-39,94
1726047008.630688,-42,93
1726047008.6779983,-49,97
1726047008.7119884,-55,96
1726047008.7421818,-62,97
1726047008.7901847,-70,99
1726047008.804915,-70,99
1726047008.8228378,-77,98
1726047008.9032855,-93,97
1726047008.9328513,-104,100
1726047008.9677055,-112,99
1726047009.0136511,-121,100
1726047009.0467725,-127,98
1726047009.0787876,-141,101
1726047009.1283343,-145,99
1726047009.1454804,-145,99
1726047009.160306,-150,98
1726047009.1896389,-152,97
1726047009.2392316,-153,96
1726047009.269117,-153,95
1726047009.3021448,-153,96
1726047009.3520644,-146,95
1726047009.3845346,-144,97
1726047009.415942,-135,96
1726047009.4632027,-126,96
1726047009.4802628,-126,96
1726047009.4956257,-119,98
1726047009.526492,-106,95
1726047009.5734248,-101,98
1726047009.611256,-91,96
1726047009.640572,-84,98
1726047009.6881201,-76,98
1726047009.7031398,-76,98
1726047009.718607,-68,98
1726047009.7970285,-53,96
1726047009.8137262,-53,96
1726047009.8316972,-50,98
1726047009.8647673,-47,98
1726047009.9106562,-46,96
1726047009.941911,-48,95
1726047009.9749742,-51,93
1726047010.0231562,-59,95
1726047010.0386524,-59,95
1726047010.064516,-66,95
1726047010.0870864,-73,95
1726047010.1357138,-80,92
1726047010.1664944,-90,92
1726047010.9972548,-150,97
1726047011.078232,-133,95
1726047011.131217,-127,96
1726047011.1471493,-127,96
1726047011.1785352,-114,93
1726047011.2246912,-106,95
1726047011.2385418,-106,95
1726047011.2718406,-97,92
1726047011.3010838,-88,91
1726047011.3495517,-82,93
1726047011.3984742,-73,92
1726047011.413379,-73,92
1726047011.446923,-65,91
1726047011.5025709,-56,90
1726047011.5217912,-56,90
1726047011.539221,-49,90
1726047011.5767612,-43,92
1726047011.6228933,-32,87
1726047011.6385677,-32,87
1726047011.6690264,-25,87
1726047011.7187748,-18,85
1726047011.7356162,-18,85
1726047011.750951,-13,84
1726047011.7984219,-11,81
1726047011.8490653,-12,79
1726047011.8787982,-14,76
1726047011.9257097,-18,75
1726047011.9414146,-18,75
1726047011.9613507,-23,74
1726047011.990253,-29,73
1726047012.0379014,-35,72
1726047012.070832,-42,72
1726047012.104236,-47,68
1726047012.1533625,-52,66
1726047012.1823459,-59,67
1726047012.2151563,-60,64
1726047012.2619765,-63,62
1726047012.279231,-63,62
1726047012.2950807,-66,62
1726047012.3340185,-66,61
1726047012.3729393,-64,59
1726047012.4054928,-64,59
1726047012.4398932,-61,59
1726047012.4890287,-57,58
1726047012.5056398,-57,58
1726047012.5203662,-53,58
1726047012.5987232,-43,57
1726047012.6164422,-43,57
1726047012.633605,-37,56
1726047012.6716666,-32,56
1726047012.6948986,-27,56
1726047012.742774,-21,56
1726047012.7757983,-17,56
1726047012.8075283,-12,58
1726047012.8375797,-10,58
1726047012.872619,-8,60
1726047012.9021516,-7,59
1726047012.9343054,-9,64
1726047012.9657009,-10,63
1726047012.9986892,-14,65
1726047013.0303907,-18,66
1726047013.0654154,-23,66
1726047013.0938299,-28,67
1726047013.1283681,-35,68
1726047013.1571708,-40,68
1726047013.1901553,-50,70
1726047013.2239556,-54,70
1726047013.3983045,-93,81
1726047013.4300134,-101,84
1726047013.4618618,-105,85
1726047013.4949934,-109,88
1726047013.5255513,-108,87
1726047013.5579681,-108,86
1726047013.5920393,-108,86
1726047013.6214628,-108,88
1726047013.6548254,-105,86
1726047013.687388,-99,85
1726047013.7182376,-94,85
1726047013.781477,-83,85
1726047013.797905,-83,85
1726047013.8308299,-75,83
1726047013.8644729,-68,82
1726047013.893608,-61,79
1726047013.9293923,-53,79
1726047014.086782,-17,79
1726047014.1161509,-10,80
1726047014.1829705,0,82
1726047014.2185376,3,82
1726047014.2470567,3,81
1726047014.2801406,3,87
1726047014.3121645,2,86
1726047014.3437111,-1,88
1726047014.357828,-1,88
1726047014.3925157,-5,88
1726047014.4217944,-12,93
1726047014.459803,-19,94
1726047014.711296,-77,98
1726047014.7448225,-82,98
1726047014.7748919,-89,100
1726047014.8085303,-91,98
1726047014.8425443,-95,100
1726047014.8710272,-94,98
1726047014.8856547,-94,98
1726047014.9204216,-94,98
1726047014.9825358,-88,97
1726047015.0132196,-83,96
1726047015.0455432,-76,95
1726047015.0778813,-70,93
1726047015.1117568,-61,90
1726047015.1471922,-57,92
1726047015.206312,-41,91
1726047015.430307,12,96
1726047015.4788132,19,94
1726047015.5102336,23,95
1726047015.5432284,24,91
1726047015.577653,24,85
1726047015.6080303,22,86
1726047015.6699777,15,92
1726047015.7027087,9,87
1726047015.7380326,2,91
1726047015.7678673,-3,87
1726047016.0404592,-66,87
1726047016.0730066,-73,89
1726047016.1037965,-76,87
1726047016.13635,-79,87
1726047016.1676602,-79,86
1726047016.1972916,-77,84
1726047016.2302415,-78,88
1726047016.2622325,-71,84
1726047016.2938297,-68,87
1726047016.3281274,-61,86
1726047016.3586395,-56,86
1726047016.3934276,-46,84
1726047016.4239705,-42,89
1726047016.4544563,-32,84
1726047016.7265081,26,86
1726047016.7593963,30,86
1726047016.790886,34,86
1726047016.8227613,32,81
1726047016.8564992,31,81
1726047016.890968,29,85
1726047016.9183667,25,86
1726047017.2860088,-68,86
1726047017.3180387,-74,84
1726047017.3821917,-84,85
1726047017.4139776,-86,85
1726047017.4459145,-90,87
1726047017.4778905,-85,84
1726047017.5100508,-84,85
1726047017.5434422,-80,84
1726047017.5741901,-73,84
1726047017.607421,-65,82
1726047017.6272442,-65,82
1726047017.688222,-52,84
1726047017.9426775,13,87
1726047017.974515,17,82
1726047018.0109909,20,81
1726047018.0369084,23,85
1726047018.0739915,21,81
1726047018.1005127,20,81
1726047018.1339772,16,82
1726047018.1858463,12,82
1726047018.2124503,6,87
1726047018.2479463,0,83
1726047018.2781029,-7,82
1726047018.5693283,-88,81
1726047018.5990186,-99,81
1726047018.6319678,-105,80
1726047018.6616101,-109,78
1726047018.6927729,-112,77
1726047018.7421,-111,76
1726047018.7764468,-110,74
1726047018.8077652,-110,77
1726047018.8384616,-108,76
1726047018.8725011,-105,78
1726047018.9019694,-98,77
1726047018.9679213,-82,76
1726047019.3034015,0,76
1726047019.3339036,5,79
1726047019.365591,10,80
1726047019.4004695,12,76
1726047019.431102,12,75
1726047019.462373,11,75
1726047019.494516,7,77
1726047019.530823,3,77
1726047019.5583181,-3,77
1726047019.8975058,-88,84
1726047019.9285054,-97,85
1726047019.9583495,-99,81
1726047019.9942846,-109,85
1726047020.0236516,-114,86
1726047020.0555372,-114,84
1726047020.0874722,-115,84
1726047020.1191866,-113,84
1726047020.1827588,-106,84
1726047020.2173154,-101,85
1726047020.246686,-92,82
1726047020.2793462,-83,80
1726047020.3083892,-77,82
1726047020.5198045,-31,83
1726047020.5825038,-15,81
