timestamp,dx,dy,label
1726057389.6053371,43,18,0
1726057389.7002566,42,21,0
1726057389.7582822,42,26,0
1726057389.8177712,42,36,0
1726057390.291185,-53,-10,1
1726057390.408769,-55,-16,0
1726057390.4705322,-56,-21,0
1726057390.5309477,-57,-27,0
1726057390.587303,-57,-29,0
1726057390.6463175,-56,-31,0
1726057390.7168748,-40,-24,0
1726057390.7884934,-37,-20,0
1726057390.8551514,-38,-15,0
1726057390.922019,-43,-10,0
1726057390.9975145,-45,-1,0
1726057391.0833015,-48,10,0
1726057391.1745944,-46,27,0
1726057391.3944492,-46,35,0
1726057391.475035,-47,16,0
1726057391.567021,-51,-13,0
1726057391.6676188,-53,-26,0
1726057392.2964685,-49,31,1
1726057392.3723352,-43,30,0
1726057392.4384787,-37,31,0
1726057392.508498,-30,32,0
1726057392.5750942,-25,32,0
1726057392.6615436,-17,34,0
1726057392.7388785,-8,34,0
1726057392.8291938,-1,34,0
1726057392.912294,1,40,0
1726057393.0121024,6,42,0
1726057393.1035454,11,39,0
1726057393.1837847,12,34,0
1726057393.2400932,12,25,0
1726057393.274588,12,14,0
1726057393.309333,7,1,0
1726057393.4016397,1,-8,0
1726057393.4853473,-1,-12,0
1726057393.5678272,-1,-7,0
1726057393.658658,-1,-4,0
1726057393.755877,-1,-1,0
1726057393.8519418,-2,0,0
1726057393.9511108,-7,8,0
1726057394.0435286,-13,16,0
1726057394.1325257,-19,23,0
1726057394.2186658,-24,32,0
1726057394.3217316,-25,37,0
1726057394.4074793,-25,38,0
1726057394.5110388,-23,38,0
1726057394.5960124,-22,36,0
1726057394.6732144,-21,32,0
1726057394.7643378,-16,29,0
1726057394.853679,-2,28,0
1726057394.9503758,0,23,0
1726057395.044489,3,17,0
1726057395.1456635,2,19,0
1726057395.2377017,-1,18,0
1726057395.3146346,-9,14,0
1726057395.3959105,-19,13,0
1726057395.477452,-22,21,0
1726057395.5564227,-13,28,0
1726057395.6451375,-5,26,0
1726057395.7316942,-1,23,0
1726057395.8267949,0,25,0
1726057395.917217,0,27,0
1726057396.0131304,-6,32,0
1726057396.1054928,-14,38,0
1726057396.204069,-15,42,0
1726057396.3057098,-7,47,0
1726057396.3972738,-6,40,0
1726057396.485237,-5,37,0
1726057396.5629056,-5,29,0
1726057396.6398864,-7,17,0
1726057396.7360694,-9,8,0
1726057396.8210795,-4,11,0
1726057396.9193418,2,13,0
1726057397.0113118,8,16,0
1726057397.1063716,5,16,0
1726057397.1957936,1,18,0
1726057397.2745368,-6,25,0
1726057397.3668742,-17,35,0
1726057397.53152,-6,46,0
1726057397.6632874,-1,40,0
1726057397.735351,-2,29,0
1726057397.8169312,2,19,0
1726057397.9029715,6,20,0
1726057397.9841242,14,22,0
1726057398.0869555,41,20,0
1726057398.179742,66,29,0
1726057398.3005562,73,30,0
1726057398.3837326,58,39,0
1726057398.4536014,29,35,0
1726057398.539351,-3,35,0
1726057398.6525943,-42,40,0
1726057398.9227674,-40,30,0
1726057398.9921246,-30,29,0
1726057399.0872326,-16,28,0
1726057399.163199,-2,29,0
1726057399.252328,7,29,0
1726057399.3321602,18,31,0
1726057399.4050255,33,31,0
1726057399.488243,42,33,0
1726057399.5688508,41,32,0
1726057399.639815,29,29,0
1726057399.7084343,7,30,0
1726057399.7773666,-16,29,0
1726057399.8467066,-40,26,0
1726057400.082974,-52,26,0
1726057400.1664388,-43,26,0
1726057400.2476892,-32,26,0
1726057400.3338,-23,26,0
1726057400.415315,-13,28,0
1726057400.4999225,-3,27,0
1726057400.5743077,16,29,0
1726057400.6569216,32,31,0
1726057400.7317493,38,31,0
1726057400.805945,34,31,0
1726057400.8739636,21,31,0
1726057400.9422505,-1,32,0
1726057401.0119357,-21,30,0
1726057401.0817506,-44,30,0
1726057401.3102748,-62,29,0
1726057401.4012654,-46,29,0
1726057401.4885125,-33,29,0
1726057401.577658,-21,28,0
1726057401.6666186,-12,27,0
1726057401.7527542,-3,27,0
1726057401.8268774,17,27,0
1726057401.900586,29,27,0
1726057401.9732163,33,29,0
1726057402.0426936,25,30,0
1726057402.1112423,9,29,0
1726057402.180311,-8,26,0
1726057402.2520304,-27,26,0
1726057402.3325987,-46,27,0
1726057402.4048204,-59,29,0
1726057402.5656672,-66,32,0
1726057402.645539,-52,29,0
1726057402.7185657,-37,30,0
1726057402.800842,-21,33,0
1726057402.8692243,-17,35,0
1726057402.9376156,-9,38,0
1726057403.7323787,-37,36,0
1726057403.8134234,-35,17,0
1726057403.8936634,-33,-1,0
1726057403.9667594,-31,-25,0
1726057404.0370848,-26,-41,0
1726057404.3624277,18,-38,0
1726057404.437606,11,-24,0
1726057404.523485,5,-8,0
1726057405.1269925,-34,44,1
1726057405.2123277,-26,25,0
1726057405.3006053,-17,2,0
1726057405.376946,-10,-12,0
1726057405.4436667,-1,-30,0
1726057405.5099218,3,-39,0
1726057405.6825032,12,-34,0
1726057405.7643266,3,-10,0
1726057405.8667438,-6,14,0
1726057406.3308575,-27,38,0
1726057406.3998537,-26,26,0
1726057406.4692984,-24,12,0
1726057406.5390544,-23,3,0
1726057406.6082191,-21,-7,0
1726057406.6808455,-19,-13,0
1726057406.758958,-14,-22,0
1726057406.8552313,-11,-26,0
1726057406.9592357,-10,-22,0
1726057407.0502892,-10,-12,0
1726057407.1342812,-11,5,0
1726057407.206933,-13,23,0
1726057407.5979257,7,50,0
1726057407.680856,4,42,0
1726057407.7583745,3,38,0
1726057407.854953,-2,23,0
1726057407.950934,-4,18,0
1726057408.0617795,-13,7,0
1726057408.1548483,-15,0,0
1726057408.23708,-12,-2,0
1726057408.328135,-10,1,0
1726057408.4165063,-3,13,0
1726057408.5296483,5,22,0
1726057408.632444,11,28,0
1726057408.729356,11,27,0
1726057408.817545,11,19,0
1726057408.916206,4,11,0
1726057409.00681,-1,14,0
1726057409.0942311,-1,21,0
1726057409.191262,-1,24,0
1726057409.2699623,-3,27,0
1726057409.3713417,-4,37,0
1726057409.4624848,-5,42,0
1726057409.5466084,-4,36,0
1726057409.6237838,-1,27,0
