1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"[-117, 74, 228]","[-117, 74, 0]","[-120, 75, 66]","[-120, 75, 0]","[-119, 76, 13]","[-119, 76, 0]","[-119, 76, 0]","[-118, 75, 43]","[-118, 75, 0]","[-119, 75, 32]","[-119, 75, 0]","[-119, 75, 0]","[-119, 75, 0]","[-119, 74, 16]","[-119, 74, 0]","[-120, 75, 44]","[-120, 75, 0]","[-120, 76, 33]","[-120, 76, 0]","[-120, 76, 0]"
"[-117, 74, 0]","[-120, 75, 66]","[-120, 75, 0]","[-119, 76, 13]","[-119, 76, 0]","[-119, 76, 0]","[-118, 75, 43]","[-118, 75, 0]","[-119, 75, 32]","[-119, 75, 0]","[-119, 75, 0]","[-119, 75, 0]","[-119, 74, 16]","[-119, 74, 0]","[-120, 75, 44]","[-120, 75, 0]","[-120, 76, 33]","[-120, 76, 0]","[-120, 76, 0]","[-120, 76, 0]"
"[-120, 75, 66]","[-120, 75, 0]","[-119, 76, 13]","[-119, 76, 0]","[-119, 76, 0]","[-118, 75, 43]","[-118, 75, 0]","[-119, 75, 32]","[-119, 75, 0]","[-119, 75, 0]","[-119, 75, 0]","[-119, 74, 16]","[-119, 74, 0]","[-120, 75, 44]","[-120, 75, 0]","[-120, 76, 33]","[-120, 76, 0]","[-120, 76, 0]","[-120, 76, 0]","[-122, 76, 44]"
"[-120, 75, 0]","[-119, 76, 13]","[-119, 76, 0]","[-119, 76, 0]","[-118, 75, 43]","[-118, 75, 0]","[-119, 75, 32]","[-119, 75, 0]","[-119, 75, 0]","[-119, 75, 0]","[-119, 74, 16]","[-119, 74, 0]","[-120, 75, 44]","[-120, 75, 0]","[-120, 76, 33]","[-120, 76, 0]","[-120, 76, 0]","[-120, 76, 0]","[-122, 76, 44]","[-122, 76, 0]"
"[-119, 76, 13]","[-119, 76, 0]","[-119, 76, 0]","[-118, 75, 43]","[-118, 75, 0]","[-119, 75, 32]","[-119, 75, 0]","[-119, 75, 0]","[-119, 75, 0]","[-119, 74, 16]","[-119, 74, 0]","[-120, 75, 44]","[-120, 75, 0]","[-120, 76, 33]","[-120, 76, 0]","[-120, 76, 0]","[-120, 76, 0]","[-122, 76, 44]","[-122, 76, 0]","[-122, 76, 0]"
"[-119, 76, 0]","[-119, 76, 0]","[-118, 75, 43]","[-118, 75, 0]","[-119, 75, 32]","[-119, 75, 0]","[-119, 75, 0]","[-119, 75, 0]","[-119, 74, 16]","[-119, 74, 0]","[-120, 75, 44]","[-120, 75, 0]","[-120, 76, 33]","[-120, 76, 0]","[-120, 76, 0]","[-120, 76, 0]","[-122, 76, 44]","[-122, 76, 0]","[-122, 76, 0]","[-122, 77, 32]"
"[-119, 76, 0]","[-118, 75, 43]","[-118, 75, 0]","[-119, 75, 32]","[-119, 75, 0]","[-119, 75, 0]","[-119, 75, 0]","[-119, 74, 16]","[-119, 74, 0]","[-120, 75, 44]","[-120, 75, 0]","[-120, 76, 33]","[-120, 76, 0]","[-120, 76, 0]","[-120, 76, 0]","[-122, 76, 44]","[-122, 76, 0]","[-122, 76, 0]","[-122, 77, 32]","[-122, 77, 0]"
"[-118, 75, 43]","[-118, 75, 0]","[-119, 75, 32]","[-119, 75, 0]","[-119, 75, 0]","[-119, 75, 0]","[-119, 74, 16]","[-119, 74, 0]","[-120, 75, 44]","[-120, 75, 0]","[-120, 76, 33]","[-120, 76, 0]","[-120, 76, 0]","[-120, 76, 0]","[-122, 76, 44]","[-122, 76, 0]","[-122, 76, 0]","[-122, 77, 32]","[-122, 77, 0]","[-120, 78, 35]"
"[-118, 75, 0]","[-119, 75, 32]","[-119, 75, 0]","[-119, 75, 0]","[-119, 75, 0]","[-119, 74, 16]","[-119, 74, 0]","[-120, 75, 44]","[-120, 75, 0]","[-120, 76, 33]","[-120, 76, 0]","[-120, 76, 0]","[-120, 76, 0]","[-122, 76, 44]","[-122, 76, 0]","[-122, 76, 0]","[-122, 77, 32]","[-122, 77, 0]","[-120, 78, 35]","[-120, 78, 0]"
"[-119, 75, 32]","[-119, 75, 0]","[-119, 75, 0]","[-119, 75, 0]","[-119, 74, 16]","[-119, 74, 0]","[-120, 75, 44]","[-120, 75, 0]","[-120, 76, 33]","[-120, 76, 0]","[-120, 76, 0]","[-120, 76, 0]","[-122, 76, 44]","[-122, 76, 0]","[-122, 76, 0]","[-122, 77, 32]","[-122, 77, 0]","[-120, 78, 35]","[-120, 78, 0]","[-122, 79, 74]"
